,_id,id_str,username,created_at,tweet,retweet_count,place,location,clean_tweets,len,Sentiment
338,5f41d8410132c41028c76af4,1297364251603095561,TranAlqui,Sun Aug 23 02:45:16 +0000 2020,"RT @nenepla: Dónde están aquellos Diputados que sacan carteles , se disfrazan o vociferan por los DDHH de asesinos y delincuentes que destr…",0,,,nenepla d nde est n aquellos diputados sacan ca eles disfrazan vociferan ddhh asesinos delincuentes destr,105,0
339,5f41d8410132c41028c76af6,1297364253893165058,pilardonosog,Sun Aug 23 02:45:16 +0000 2020,RT @_steelpendex18: Ahora quiero ver a todas las que se embanderan con la sororidad y la empatía hablando de #normavasquez o por ser funcio…,0,,El monte,steelpendex ahora quiero ver todas embanderan n sororidad empat hablando normavasquez ser funcio,96,0
340,5f41d8410132c41028c76af8,1297364254530646016,shannnn___,Sun Aug 23 02:45:16 +0000 2020,Whew chile ima Grama I’m ready to go get in bed and watch Sam &amp; Dean 😫,0,,w/ ma'kailyen ❤️,whew chile ima grama i m ready to go get in bed and watch sam amp dean,70,1
341,5f41d8420132c41028c76afa,1297364257378635777,ClubdeMinnies,Sun Aug 23 02:45:17 +0000 2020,"RT @AcademiayPreun1: Participa por 2 clases gratuitas.
Academia y Preuniversitario de las artes Wayú, Chile 2020. https://t.co/y8ChmPUtVb",0,,Chile,academiaypreun pa icipa clases gratuitas academia preuniversitario way chile s t chmputvb,89,0
342,5f41d8420132c41028c76afc,1297364257848406017,mptamarin,Sun Aug 23 02:45:17 +0000 2020,"RT @salmonresearch: “Chile has slapped a record $6.6 million fine on a Norwegian salmon producer for the 2018 escape of 690,000 antibiotic-…",0,,"Santiago, Chile.",salmonresearch chile slapped re rd million fine on norwegian salmon producer for the escape of antibiotic,105,1
343,5f41d8430132c41028c76afe,1297364260247482370,7bangyg,Sun Aug 23 02:45:18 +0000 2020,RT @jeonfilter: Me da risa que nos alteramos porque bangtan le dio fav a un tiktok de una chilena como si eso significara alg- BTS EN CHILE…,0,,,jeonfilter da risa alteramos bangtan dio fav tiktok chilena mo si significara alg bts chile,91,0
344,5f41d8430132c41028c76b00,1297364260377497600,Omarsitodeleon,Sun Aug 23 02:45:18 +0000 2020,"RT @JorgeGmz15: Es al chile que hay gente que le piensa que Funes falla esa? 😂
Na mamen pues si la definió de primera, y se movió perfecto.…",0,,"Monterrey, Nuevo León, México",jorgegmz chile gente piensa funes falla na mamen pues si defini primera movi perfecto,85,0
345,5f41d8430132c41028c76b02,1297364262281781251,paolitamimi52,Sun Aug 23 02:45:18 +0000 2020,"RT @Thunder_Pantera: Tanques liberando a #Chile.

11 de septiembre de 1973. https://t.co/OLX41V2D8w",0,,,thunder pantera tanques liberando chile septiembre s t olx v d w,64,0
346,5f41d8430132c41028c76b04,1297364262566928386,yves_loves,Sun Aug 23 02:45:18 +0000 2020,RT @louxsgs: CHILE CAMPEÓN https://t.co/lodYFlU5kZ,0,,she/her,louxsgs chile campe n s t lodyflu kz,36,0
347,5f41d8440132c41028c76b06,1297364263414181893,quaashawnn,Sun Aug 23 02:45:18 +0000 2020,RT @WOLFRAE__: Foxy Brown is dissing Lil Kim Lmfaoooo I’m living for this chile https://t.co/y9oeMQBcAQ,0,,"New York, NY",wolfrae foxy brown is dissing lil kim lmfaoooo i m living for this chile s t oemqbcaq,85,0
348,5f41d8440132c41028c76b08,1297364265268125696,MaEugeniaFuica,Sun Aug 23 02:45:19 +0000 2020,RT @pdhernandezf: Sebastián Piñera (@sebastianpinera) es un sujeto que carece de toda credibilidad en Chile. Que triste terminar así despué…,0,,"Santiago, Chile",pdhernandezf sebasti n pi sebastianpinera sujeto carece toda credibilidad chile triste terminar as despu,104,0
