"tema","rep"
"Energia Renovable",21
"Desarrollo Sostenible",17
"Cambio Climatico",9
"Fabricas",23
"Calentamiento Global",22
"Biologia",23
"Agua Potable",25
"Ministerio del Medio Ambiente",8
"Comisión Nacional del Medio Ambiente",25
"Bosque",20
"Biofuel",14
"Biomasa",20
"Deforestacion",17
"Industria",17
"Ecotopia",21
"Deshielo",21
"Problema Ambiental",18
"Biodiversidad",13
"Industrias",20
"Tres R",12
